AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date,Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
UTI Asset Mgmt. Co. Ltd.,143997,UTI - Fixed Term Income fund - Series XXIX - XI (1112 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXIX-XI (1112 days) - Direct Plan - Growth Option,Rs 5000,25-Jun-2018,,INF789F1A025
Franklin Templeton Asset Management (India) Private Limited,144007,Franklin India Fixed Maturity Plans- Series 4- Plan A (1098 days),Close Ended,Income,Franklin India Fixed maturity Plans- Series 4- Plan A (1098 days) - Growth - Direct,5000,22-Jun-2018,,INF090I01OP4
Nippon Life India Asset Management Limited,144017,Reliance Fixed Horizon Fund XXXVIII- Series 4,Close Ended,Income,Reliance Fixed Horizon Fund XXXVIII- Series 4- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,28-Jun-2018,,INF204KB1C04
SBI Funds Management Limited,144037,SBI Debt Fund Series C - 19 (1100 Days),Close Ended,Income,SBI Debt Fund Series C - 19 (1100 Days) - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter,27-Jun-2018,02-Jul-2018,INF200KA1UM3
Kotak Mahindra Asset Management Company Limited.,144063,Kotak FMP Series 233,Close Ended,Income,Kotak FMP Series 233 - Direct Plan - Growth Option,200000000,25-Jun-2018,,INF174KA1061
Nippon Life India Asset Management Limited,144084,Nippon India Fixed Horizon Fund XXXVIII- Series 5,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVIII- Series 5- Direct Plan - Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,05-Jul-2018,,INF204KB1C46
UTI Asset Mgmt. Co. Ltd.,144096,UTI - Fixed Term Income fund - Series XXIX - XIII (1122 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXIX-XIII (1122 days) - Direct Plan - Growth Option,Rs 5000,02-Jul-2018,,INF789F1A124
SBI Funds Management Limited,144114,SBI Dual Advantage Fund - Series XXIX,Close Ended,Income,SBI Dual Advantage Fund - Series XXIX - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter,02-Jul-2018,16-Jul-2018,INF200KA1UQ4
HSBC Asset Management (India) Private Ltd.,144117,HSBC Fixed Term Series 135 (1117 days plan),Close Ended,Income,HSBC Fixed Term Series 135 - Direct Plan Growth Option,5000,29-Jun-2018,,INF336L01MZ8
Nippon Life India Asset Management Limited,144159,Nippon India Fixed Horizon Fund XXXVIII- Series 6,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVIII- Series 6- Direct Plan -Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,12-Jul-2018,,INF204KB1C87
Bandhan AMC Limited,144173,BANDHAN ULTRA SHORT DURATION FUND,Open Ended,Debt Scheme - Ultra Short Duration Fund,BANDHAN ULTRA SHORT DURATION FUND - DIRECT PLAN GROWTH,Subscription  Rs.100/- and any amount thereafter,06-Jul-2018,,INF194KA16R3
UTI Asset Mgmt. Co. Ltd.,144201,UTI - Fixed Term Income fund - Series XXIX - XIV (1131 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXIX-XIV (1131 days) - Direct Plan - Growth Option,Rs 5000,05-Jul-2018,,INF789F1A322
UTI Asset Mgmt. Co. Ltd.,144227,UTI - Fixed Term Income fund - Series XXIX - XV (1124 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXIX-XV (1124 days) - Direct Plan - Growth Option,Rs 5000,12-Jul-2018,,INF789F1A413
Nippon Life India Asset Management Limited,144248,Nippon India Fixed Horizon Fund XXXVIII- Series 7,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVIII- Series 7- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,17-Jul-2018,,INF204KB1D29
Nippon Life India Asset Management Limited,144252,Reliance Fixed Horizon Fund XXXVIII- Series 8,Close Ended,Income,Reliance Fixed Horizon Fund XXXVIII- Series 8- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,17-Jul-2018,,INF204KB1D60
Franklin Templeton Asset Management (India) Private Limited,144268,Franklin India Fixed Maturity Plans Series 4- Plan B (1098 days),Close Ended,Income,Franklin India Fixed Maturity Plans - Series 4 - Plan B (1098 days)- Growth - Direct,5000,17-Jul-2018,,INF090I01OV2
Kotak Mahindra Asset Management Company Limited.,144279,Kotak FMP Series 234,Close Ended,Income,Kotak FMP Series 234 - Direct Plan - Growth Option,200000000,10-Jul-2018,,INF174KA1103
Kotak Mahindra Asset Management Company Limited.,144283,Kotak FMP Series 235,Close Ended,Income,Kotak FMP Series 235 - Direct Plan - Growth option,200000000,10-Jul-2018,,INF174KA1145
Bank of India Investment Managers Private Limited,144315,BANK OF INDIA MID CAP TAX FUND Series 2,Close Ended,ELSS,BANK OF INDIA Midcap Tax Fund Series 2 Direct Plan Growth,500,12-Jul-2018,11-Oct-2018,INF761K01EL6
Union Asset Management Company Private Limited,144312,Union Equity Savings Fund,Open Ended,Hybrid Scheme - Equity Savings,Union Equity Savings Fund - Direct Plan - Growth Option,Rs 1000 and in multiples of Rs.1 thereafter.,19-Jul-2018,,INF582M01EC1
Kotak Mahindra Asset Management Company Limited.,144335,Kotak Balanced Advantage Fund,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Kotak Balanced Advantage Fund  - Direct Plan -Growth Option,1000,13-Jul-2018,,INF174KA1210
UTI Asset Mgmt. Co. Ltd.,144339,UTI - Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,UTI Corporate Bond Fund - Direct Plan - Growth Option,Rs 5000 and in multiple of Rs 1,23-Jul-2018,,INF789F1A538
SBI Funds Management Limited,144349,SBI Debt Fund Series C - 20 (1100 Days),Close Ended,Income,SBI Debt Fund Series C - 20 - (1100 Days) - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter,17-Jul-2018,18-Jul-2018,INF200KA1UU6
Nippon Life India Asset Management Limited,144352,Nippon India Fixed Horizon Fund XXXVIII- Series 10,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVIII- Series 10- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,23-Jul-2018,,INF204KB1E44
Kotak Mahindra Asset Management Company Limited.,144362,Kotak FMP Series 236,Close Ended,Income,Kotak FMP Series 236 - Direct Plan - Growth Option,200000000,16-Jul-2018,,INF174KA1244
SBI Funds Management Limited,144366,SBI Debt Fund Series C - 21 (1100 Days),Close Ended,Income,SBI Debt Fund Series C - 21 (1100 Days) - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter,20-Jul-2018,30-Jul-2018,INF200KA1UY8
Axis Asset Management Co. Ltd.,144394,Axis Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Axis Aggressive Hybrid Fund - Direct Plan - Growth Option,Rs. 5000 and in multiples of Re. 10/- thereafter,20-Jul-2018,,INF846K01E25
Mahindra Manulife Investment Management Pvt Ltd,144403,Mahindra Manulife Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,Mahindra Manulife Dynamic Bond Fund - Direct Plan - Growth,Rs. 1000 and in multiples of Re. 1/- thereafter,27-Jul-2018,,INF174V01580
Kotak Mahindra Asset Management Company Limited.,144459,Kotak FMP Series 237,Close Ended,Income,Kotak FMP Series 237 - Direct Plan-Growth Option,200000000,23-Jul-2018,,INF174KA1285
Franklin Templeton Asset Management (India) Private Limited,144466,Franklin India Equity Savings Fund,Open Ended,Hybrid Scheme - Equity Savings,Franklin India Equity Savings Fund- Growth Direct,5000,03-Aug-2018,,INF090I01PD7
Kotak Mahindra Asset Management Company Limited.,144477,Kotak FMP Series 238,Close Ended,Income,Kotak FMP Series 238- Direct Plan -Growth Option,200000000,30-Jul-2018,,INF174KA1327
Nippon Life India Asset Management Limited,144482,Nippon India Fixed Horizon Fund XXXVIII- Series 11,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVIII- Series 11- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,08-Aug-2018,,INF204KB1E85
UTI Asset Mgmt. Co. Ltd.,144490,UTI - Equity Savings Fund,Open Ended,Hybrid Scheme - Equity Savings,UTI Equity Savings Fund - Direct Plan - Growth Option,Rs 5000 and in multiple of Rs 1,10-Aug-2018,,INF789F1A777
SBI Funds Management Limited,144494,SBI Debt Fund Series C - 22 (1100 Days),Close Ended,Income,SBI Debt Fund Series C - 22 (1100 Days) - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter,02-Aug-2018,16-Aug-2018,INF200KA1VC2
Nippon Life India Asset Management Limited,144528,Nippon India Fixed Horizon Fund XXXVIII- Series 12,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVIII- Series 12- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,09-Aug-2018,,INF204KB1F27
Tata Asset Management Limited,144546,Tata Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,Tata Flexi Cap Fund-Direct Plan-Growth,Rs 5000/- and in multiple of Re.1/- thereafter.,17-Aug-2018,,INF277K015K0
HSBC Asset Management (India) Private Ltd.,144556,HSBC Fixed Term Series 136 (1145 days plan),Close Ended,Income,HSBC Fixed Term Series 136 - Direct Plan Growth Option,5000,03-Aug-2018,,INF336L01ND3
UTI Asset Mgmt. Co. Ltd.,144571,UTI - Fixed Term Income fund - Series XXX - I (1104 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXX-I (1104 days) - Direct Plan - Growth Option,Rs 5000,08-Aug-2018,,INF789F1A702
Kotak Mahindra Asset Management Company Limited.,144589,Kotak FMP Series 239,Close Ended,Income,Kotak FMP Series 239 - Direct Plan - Growth option,200000000,03-Aug-2018,,INF174KA1368
Nippon Life India Asset Management Limited,144594,Reliance Fixed Horizon Fund XXXVIII- Series 13,Close Ended,Income,Reliance Fixed Horizon Fund XXXVIII- Series 13- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,14-Aug-2018,,INF204KB1F68
Kotak Mahindra Asset Management Company Limited.,144614,Kotak FMP Series 240,Close Ended,Income,Kotak FMP Series 240 - Direct Plan - Growth Option,200000000,07-Aug-2018,,INF174KA1400
Kotak Mahindra Asset Management Company Limited.,144617,Kotak FMP Series 241,Close Ended,Income,Kotak FMP Series 241-Direct PLan-Growth Option,200000000,07-Aug-2018,,INF174KA1442
Nippon Life India Asset Management Limited,144626,Nippon India Fixed Horizon Fund XXXVIII- Series 14,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVIII- Series 14- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,20-Aug-2018,,INF204KB1G00
DSP Asset Managers Private Limited,144646,DSP Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,DSP Corporate Bond Fund - Direct - Growth,Rs. 1000/  and any amount thereafter.,23-Aug-2018,05-Sep-2018,INF740KA1KE8
